Question,Answer
How many players are there in a squad,"There are 11 players on the pitch for each team at one time. A manager can name 9 substitutes, but only 5 may be used per game."
Who is Lionel Messi,"Lionel Messi is an Argentine professional footballer widely regarded as one of the best players of all time, known for his time at FC Barcelona and his role in Argentina's 2022 World Cup win."
What is a midfielder's role,"The role of a midfielder in soccer is crucial to the success of the team. Positioned between the defense and the attack, midfielders act as a link, connecting the two areas of the field. They play a pivotal role in both defensive and offensive actions, contributing to the overall flow and rhythm of the game."
What is a defender's role,A defender's primary role is to prevent the opposing team from scoring by stopping attacks and protecting their own goal.
What is a goalkeeper's role,A goalkeepers role is to prevent the ball from entering the goal.
What is a striker's role ,"The striker's role is primarily to score goals and lead the attack, often requiring skills like quick thinking, strong finishing, and the ability to find space and exploit defensive weaknesses. "
Who is Cristiano Ronaldo," Cristiano Ronaldo is a Portuguese professional footballer widely regarded as one of the best players of all time known for his time at Manchester United ,Real Madrid and Juventus."
Who is Neymar,  Neymar is a Brazilian professional footballer known for his time at Santos Barcelona and Paris Saint-Germain as well as his role in Brazil's national team.
Who is Pele,"Pele is a Brazilian former professional footballer widely regarded as one of the greatest players of all time,  known for his time at Santos and the Brazilian national team."
Who is Diego Maradona ," Diego Maradona was an Argentine professional footballer widely regarded as one of the greatest players of all time,  known for his time at Napoli and his role in Argentina's 1986 World Cup win."
Who is Zinedine Zidane," Zinedine Zidane is a French former professional footballer and manager, known for his time at Juventus and Real Madrid as well as his role in France's 1998 World Cup win."
Who is Kylian Mbappe, Kylian Mbappe is a French professional footballer known for his time at Monaco and Paris Saint-Germain as well as his role in France's 2018 World Cup win.
Who is Johan Cruyff, Johan Cruyff was a Dutch professional footballer and manager widely regarded as one of the greatest players of all time known for his time at Ajax and Barcelona.
Who is Erling Haaland, Erling Haaland is a Norwegian professional footballer known for his time at Borussia Dortmund and his goal-scoring prowess.
Who is Jude Bellingham, Jude Bellingham is an English professional footballer known for his time at Birmingham City and Borussia Dortmund  as well as his role in England's national team.
When is the next World Cup,The next World Cup begins June 11th 2026 and will be held in the USA.
Who won the last world Cup,Argentina won the 2022 World Cup beating France in the final on penalties
Which club does Lionel Messi Play for,Lionel Messi plays for Inter Miami Fc in the American Major Soccer League 
Which club does Cristiano Ronaldo Play for,Critstiano Ronaldo currently plays for Al Nassr in the Saudi Pro League
Which club does Erling Haaland Play for,Erling Haaland currently plays for Manchester City in the Premier League
Which club does Neymar Play for,"Neymar has recently gone back to his childhood club Santos in Brazil Serie A, transferring from Al-Hilal"
Which club does Kylian Mbappe Play for,Kylian Mbappe currently plays for Real Madrid in the Spanish La Liga
Which club does Jude Bellingham Play for,Jude Bellingham currently plays for Borussia Dortmund in the German Bundesliga
Which club does Pele Play for,Pele played for Santos in Brazil Serie A
Which club does Diego Maradona Play for,Diego Maradona played for Boca Juniors in the Argentine Primera Division
Which club does Zinedine Zidane Play for,Zinedine Zidane played for Real Madrid in the Spanish La Liga
What is the offside rule,The offside rule in soccer is designed to prevent players from simply hanging around the opponent's goal waiting for a pass. A player is in an offside position if they are nearer to the opponent's goal than both the ball and the second-to-last defender when the ball is played to them.
What is a yellow card,"A yellow card is a caution given to a player by the referee for unsporting behavior, dissent, or time-wasting. Two yellow cards in the same game result in a red card, which means the player is sent off."
What is a red card,"A red card is a punishment given to a player by the referee for serious foul play, violent conduct, or abusive language. A player who receives a red card is sent off the field and cannot be replaced, meaning their team plays with one fewer player."
What is a penalty kick,"A penalty kick is a direct free kick taken from the penalty spot, 12 yards from the goal line, with only the goalkeeper to beat. It is awarded for a foul committed inside the penalty area, and is a great goal-scoring opportunity."
What is a free kick,"A free kick is a direct or indirect kick awarded to a team following a foul committed by the opposing team. The kick is taken from the spot where the foul occurred, and the opposing team must be at least 10 yards away from the ball."
What is a corner kick,"A corner kick is awarded when the defending team plays the ball over their own goal line, with the attacking team given the opportunity to score directly from the kick. The ball is placed inside the corner arc at the nearest corner flag."
What is a goal kick,A goal kick is awarded to the defending team when the attacking team plays the ball over the goal line without scoring. The ball is placed inside the six-yard box and must leave the penalty area before being touched by another player.
What is a throw-in,"A throw-in is awarded when the ball goes out of play over the touchline, with the opposing team given possession. The thrower must have both feet on the ground and throw the ball from behind their head with both hands."
What is a hat-trick,"A hat-trick is when a player scores three goals in a single game. It is a rare and impressive feat, showcasing the player's goal-scoring ability and impact on the game."
What is the Premier League,"The Premier League is the top tier of professional football in England, featuring 20 teams competing for the title. It is one of the most popular and competitive leagues in the world, with a rich history and passionate fan base."
What is La Liga,"La Liga is the top tier of professional football in Spain, featuring 20 teams competing for the title. It is known for its technical style of play and fierce rivalries, with clubs like Real Madrid and Barcelona dominating the league."
What is Serie A,"Serie A is the top tier of professional football in Italy, featuring 20 teams competing for the title. It is known for its defensive style of play and tactical sophistication, with clubs like Juventus and AC Milan among the most successful."
What is the Bundesliga,"The Bundesliga is the top tier of professional football in Germany, featuring 18 teams competing for the title. It is known for its high-scoring games and passionate fan culture, with clubs like Bayern Munich and Borussia Dortmund leading the way."
What is Ligue 1,"Ligue 1 is the top tier of professional football in France, featuring 20 teams competing for the title. It is known for its emphasis on youth development and attacking football, with clubs like Paris Saint-Germain and Lyon among the top contenders."
What is the Champions League,"The Champions League is an annual club football competition organized by UEFA, featuring the top teams from across Europe. It is one of the most prestigious tournaments in the world, with clubs competing for the title of European champions."
What is the Europa League,"The Europa League is an annual club football competition organized by UEFA, featuring teams from across Europe who have not qualified for the Champions League. It is a prestigious tournament in its own right, with clubs competing for the title of Europa League champions."
What is the World Cup,"The World Cup is an international football tournament held every four years, featuring the top national teams from around the world. It is the most prestigious competition in football, with teams competing for the title of world champions."
What is the Ballon d'Or,"The Ballon d'Or is an annual football award presented by France Football, recognizing"
How long  is a football match,A football game last for 90 minutes split into 45 minute halves.
How Many Teams are there in the Premier League,"There are 20 teams in the Premier League, with each team playing 38 matches over the course of a season."
Who has won the Premier League the most times,"Manchester United has won the Premier League the most times, with 13 titles to their name."
Who is the best team in the Premier League,"Manchester City is currently considered the best team in the Premier League, having won the title multiple times in recent years."
"When was the English Premier League founded?","20th February 1992"
"Which team won the first-ever Premier League title?","Manchester United (1992-93)"
"How many teams compete in the Premier League each season?","20 teams"
"What happens to the bottom three teams at the end of the season?","They get relegated to the EFL Championship"
"Which club has won the most Premier League titles?","Manchester United (13 titles)"
"Who holds the record for the most goals scored in a single Premier League season?","Erling Haaland (36 goals, 2022-23)"
Who scored the most goals in one Premier League season,"Erling Haaland (36 goals, 2022-23)"
Which player has the highest goals in a Premier League campaign,"Erling Haaland (36 goals, 2022-23)"
"Which club went an entire Premier League season unbeaten?","Arsenal (2003-04, The Invincibles)"
Which team had an unbeaten season in the Premier League,"Arsenal (2003-04, The Invincibles)"
What team is known as The Invincibles,"Arsenal (2003-04, The Invincibles)"
"Which player has made the most appearances in the Premier League?","Gareth Barry (653 appearances)"
"What is the Manchester derby?","The match between Manchester United and Manchester City"
"What is the North London derby?","The match between Arsenal and Tottenham Hotspur"
"Which two teams contest the Merseyside derby?","Liverpool and Everton"
"Which club has the record for the most points in a single Premier League season?","Manchester City (100 points, 2017-18)"
"Who was the longest-serving manager in Premier League history?","Sir Alex Ferguson (26 years, 1986-2013)"
"Which manager has won the most Premier League titles?","Sir Alex Ferguson (13 titles)"
"Who was the first player to score five goals in a single Premier League match?","Andy Cole (Manchester United vs. Ipswich Town, 1995)"
"Which player has provided the most assists in Premier League history?","Ryan Giggs (162 assists)"
"Which player has won the most Ballon d'Or awards?","Lionel Messi (8 times as of 2023)."
"Who is the most expensive football transfer in history?","Neymar (€222 million from Barcelona to PSG in 2017)."
"Which player won the FIFA The Best Men's Player Award in 2023?","Lionel Messi."
"Who was the first player to score a hat-trick in a World Cup final?","Geoff Hurst (England, 1966 final vs. West Germany)."
"Which player has scored the most goals in Premier League history?","Alan Shearer (260 goals)."
"Who is the youngest player to ever play in the Premier League?","Ethan Nwaneri (15 years and 181 days, Arsenal, 2022)."
Who is the youngest Premier League player,"Ethan Nwaneri (15 years and 181 days, Arsenal, 2022)"
Who holds the record for youngest EPL appearance,"Ethan Nwaneri (15 years and 181 days, Arsenal, 2022)"
"Which player has the most assists in Premier League history?","Ryan Giggs (162 assists)."
"Who was the first player to reach 100 Premier League goals?","Alan Shearer."
"Which player has won the most Premier League titles?","Ryan Giggs (13 titles with Manchester United)."
"Who is the fastest player to score a Premier League hat-trick?","Sadio Mané (2 minutes 56 seconds for Southampton vs. Aston Villa, 2015)."
"Who was the first Premier League player to win the FIFA World Player of the Year award?","Cristiano Ronaldo (2008, Manchester United)."
"Who is the only player to score in 21 consecutive Premier League matches?","Jamie Vardy (Leicester City, 2015-16 season)."
"How many teams in the premier league","There are 20 teams in the preimer league, each season they play each other twice (38 games)"
"What was the English Premier League called before","The Barclays Premier was the official name for the league between 2001 and 2016"
"When was the English Premier League founded","The premier league was founded on 27/05/1992"